DATE,HOME_TEAM,HOME_GOALS,AWAY_GOALS,AWAY_TEAM,COMPETITION,STAGE,WINNER,INSTANCE
2025-06-05,Spain,5,4,France,European Nations League,Semi-final,Spain,full-time
2025-06-08,Portugal,2,2,Spain,European Nations League,Final,Portugal,penalties
2025-09-04,Bulgaria,0,3,Spain,World Cup,Qualification,Spain,full-time
2025-09-07,Turkey,0,6,Spain,World Cup,Qualification,Spain,full-time
2025-10-11,Spain,2,0,Georgia,World Cup,Qualification,Spain,full-time
2025-10-14,Spain,4,0,Bulgaria,World Cup,Qualification,Spain,full-time
2025-11-15,Georgia,0,4,Spain,World Cup,Qualification,Spain,full-time
2025-11-18,Spain,2,2,Turkey,World Cup,Qualification,,full-time
2026-03-27,Spain,3,0,Serbia,Friendly,,Spain,full-time
2026-03-31,Spain,0,0,Egypt,Friendly,,,full-time
2026-06-04,Spain,1,1,Iraq,Friendly,,,full-time
2025-11-15,Mexico,0,0,Uruguay,Friendly,,,full-time
2025-11-18,Paraguay,2,1,Mexico,Friendly,,Paraguay,full-time
2026-01-22,Panama,0,1,Mexico,Friendly,,Mexico,full-time
2026-01-25,Bolivia,0,1,Mexico,Friendly,,Mexico,full-time
2026-02-25,Mexico,4,0,Iceland,Friendly,,Mexico,full-time
2026-03-28,Mexico,0,0,Portugal,Friendly,,,full-time
2026-03-31,Belgium,1,1,Mexico,Friendly,,,full-time
2026-05-22,Mexico,2,0,Ghana,Friendly,,Mexico,full-time
2026-05-30,Mexico,1,0,Australia,Friendly,,Mexico,full-time
2026-06-04,Mexico,5,1,Serbia,Friendly,,Mexico,full-time
2025-09-05,Montenegro,0,2,Czechia,World Cup,Qualification,Czechia,full-time
2025-09-08,Czechia,1,1,Saudi Arabia,Friendly,,,full-time
2025-10-09,Czechia,0,0,Croatia,World Cup,Qualification,,full-time
2025-10-12,Faroe Islands,2,1,Czechia,World Cup,Qualification,Faroe Islands,full-time
2025-11-13,Czechia,1,0,San Marino,Friendly,,Czechia,full-time
2025-11-17,Czechia,6,0,Gibraltar,World Cup,Qualification,Czechia,full-time
2026-03-26,Czechia,2,2,Ireland,World Cup,Qualification,Czechia,penalties
2026-03-31,Czechia,2,2,Denmark,World Cup,Qualification,Czechia,penalties
2026-05-31,Czechia,2,1,Kosovo,Friendly,,Czechia,full-time
2026-06-04,Czechia,3,1,Guatemala,Friendly,,Czechia,full-time
2025-09-06,USA,0,2,South Korea,Friendly,,South Korea,full-time
2025-09-09,Mexico,2,2,South Korea,Friendly,,,full-time
2025-10-10,South Korea,0,5,Brazil,Friendly,,Brazil,full-time
2025-10-14,South Korea,2,0,Paraguay,Friendly,,South Korea,full-time
2025-11-14,South Korea,2,0,Bolivia,Friendly,,South Korea,full-time
2025-11-18,South Korea,1,0,Ghana,Friendly,,South Korea,full-time
2026-03-28,Ivory Coast,4,0,South Korea,Friendly,,Ivory Coast,full-time
2026-03-31,Austria,1,0,South Korea,Friendly,,Austria,full-time
