Team, Rating, Matches, GF, GA, Group
Mexico, 1868, WDDWW, 8, 1, A
Czechia, 1733, DLWDD, 11, 6, A
South Korea, 1756, DDDWW, 9, 3, A
Canada, 1793, WWDDW, 7, 2, B
Switzerland, 1894, WWDWD, 10, 2, B
Bosnia and Herzegovina, 1591, DWDDD, 8, 6, B
Brazil, 1988, LDWWL, 5, 5, C
Morocco, 1822, WWWWW, 12, 1, C
Paraguay, 1832, DWLDW, 5, 3, D
Australia, 1774, DWWWW, 12, 4, D
Turkey, 1906, WWDWW, 10, 3, D
Germany, 1925, WWWWW, 16, 1, E
Ivory Coast, 1676, WWDWW, 12, 0, E
Ecuador, 1935, DDDDW, 1, 0, E
Netherlands, 1961, WWWDW, 16, 3, F
Japan, 1906, WWDLW, 11, 2, F
Sweden, 1714, LLDWW, 8, 9, F
Belgium, 1888, WDWDW, 18, 3, G
Egypt, 1699, WWDWW, 7, 0, G
New Zealand, 1585, WWWWW, 29, 1, G
Spain, 2165, WWWWD, 18, 2, H
Uruguay, 1892, DLWWD, 5, 2, H
France, 2081, WWDWW, 14, 4,I
Norway, 1917, WWWWW, 25, 4,I
Argentina, 2113, WWDWL, 9, 3,J
Algeria, 1743, WWDWW, 13, 3,J
Austria, 1830, WWLWD, 15, 3,J
Portugal, 1984, WWDLW, 15, 5,K
Uzbekistan, 1718, WWDDW, 7, 2,K
Colombia, 1977, DDDWW, 12, 6,K
England, 2020, WWWWW, 16, 0,L
Croatia, 1908, WDWWW, 13, 3,L
